name,description,category,stock_quantity,cost_price,selling_price,unit,reorder_level,is_active
Laptop Pro 15",High-performance laptop with 16GB RAM and 512GB SSD,Electronics,25,3500,4500,unit,5,true
Smartphone X,Latest smartphone with 128GB storage and dual camera,Electronics,40,2800,3800,unit,10,true
Wireless Headphones,Premium noise-cancelling wireless headphones,Electronics,60,1200,1800,unit,15,true
Smart Watch,Fitness tracking smartwatch with heart rate monitor,Electronics,35,1500,2200,unit,8,true
Tablet Air,10-inch tablet with stylus support,Electronics,30,2000,2900,unit,7,true
Men's Casual Shirt,Cotton casual shirt various colors available,Clothing,100,1200,1800,piece,20,true
Women's Summer Dress,Lightweight floral summer dress,Clothing,80,1500,2300,piece,15,true
Denim Jeans,Classic fit blue denim jeans,Clothing,120,1800,2500,piece,25,true
Sports Jacket,Warm fleece sports jacket,Clothing,50,2200,3200,piece,10,true
Running Shoes,Comfortable athletic running shoes,Clothing,70,2000,3000,pair,15,true
Coffee Maker,Automatic drip coffee maker 12-cup capacity,Home & Kitchen,45,1800,2600,unit,10,true
Blender Pro,High-speed blender for smoothies and soups,Home & Kitchen,55,1500,2200,unit,12,true
Air Fryer,Digital air fryer 5.8 quart capacity,Home & Kitchen,35,2500,3500,unit,8,true
Vacuum Cleaner,Cordless stick vacuum with HEPA filter,Home & Kitchen,30,2800,4000,unit,7,true
Toaster Oven,Convection toaster oven 6-slice capacity,Home & Kitchen,40,1600,2400,unit,10,true
Desk Chair,Ergonomic office chair with lumbar support,Office Supplies,25,2500,3500,unit,5,true
Standing Desk,Adjustable height standing desk,Office Supplies,15,3500,4800,unit,3,true
LED Desk Lamp,Dimmable LED desk lamp with USB port,Office Supplies,60,1000,1500,unit,15,true
Filing Cabinet,3-drawer metal filing cabinet,Office Supplies,20,1800,2600,unit,5,true
Printer Wireless,All-in-one wireless printer scanner copier,Office Supplies,30,2200,3200,unit,8,true
Organic Coffee Beans,Premium arabica coffee beans 1kg,Food & Beverages,100,1200,1800,pack,20,true
Green Tea Set,Assorted green tea collection 50 bags,Food & Beverages,80,1000,1500,box,15,true
